corrida,tiempo,algoritmo,densidad,resultado,p
6,0.9911,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
7,0.9556,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
8,0.9594,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
9,1.0493,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
0,1.8675,EG,58,"[0.5, 0.340909, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636]",0.5
1,1.1815,EG,58,"[0.5, 0.340909, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636]",0.5
2,1.5966,EG,58,"[0.5, 0.340909, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636]",0.5
3,2.4117,EG,58,"[0.5, 0.340909, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636]",0.5
4,1.7631,EG,58,"[0.5, 0.340909, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636]",0.5
5,1.696,EG,58,"[0.5, 0.340909, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636, 0.0113636]",0.5
